Ano;Agente;Media_Tarifaria;Desvio_Padrao;Acima_da_Media
2010;Ero;23.237826086956524;18.33502756933786;Sim
2011;Ero;27.54041666666667;23.235644933399513;Sim
2012;Ero;26.159583333333334;20.997706806296453;Sim
2013;Ero;17.083170731707316;16.272983659892308;Sim
2020;Ero;20.8065625;15.174800335482974;Sim
2021;Ero;17.463611111111113;13.925887127992503;Sim
2022;Ero;21.42838709677419;15.647396822213848;Sim
2023;Ero;26.659310344827585;22.531510464083482;Sim
2024;Ero;29.03448275862069;24.577817174117296;Sim
